[2025-11-28T14:35:10.817Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹4815, Course: 6929a1e49dc9b76a26a3d32e, OrderID: order_RlC9MWEbykfwFF, TrackingID: TN-1764340510766-218, IP: ::1
[2025-11-28T14:35:30.069Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RlC9MWEbykfwFF, PaymentID: undefined, Amount: ₹481500, Verified: true, IP: ::1
[2025-11-28T14:46:11.036Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹4815, Course: 6929a1e49dc9b76a26a3d32e, OrderID: order_RlCKz9sTjvA5ie, TrackingID: TN-1764341170970-347, IP: ::1
[2025-11-28T14:49:47.901Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RlCKz9sTjvA5ie, PaymentID: undefined, Amount: ₹481500, Verified: true, IP: ::1
[2025-11-28T15:00:35.109Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹4050, Course: 6929a1e49dc9b76a26a3d32e, OrderID: order_RlCaBgmUPARJu3, TrackingID: TN-1764342034717-880, IP: ::1
[2025-11-28T16:10:51.023Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹4815, Course: 6929b8369dc9b76a26a3ddd9, OrderID: order_RlDmQ9WaN78M8J, TrackingID: TN-1764346250952-70, IP: ::1
[2025-11-28T16:11:25.128Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RlDmQ9WaN78M8J, PaymentID: undefined, Amount: ₹481500, Verified: true, IP: ::1
[2025-11-28T16:46:11.690Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹4815, Course: 6929b8369dc9b76a26a3ddd9, OrderID: order_RlENiXjyrUzqjI, TrackingID: TN-1764348371577-802, IP: ::1
[2025-11-28T16:46:40.833Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RlENiXjyrUzqjI, PaymentID: undefined, Amount: ₹481500, Verified: true, IP: ::1
[2025-11-28T16:51:33.638Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹4815, Course: 6929b8369dc9b76a26a3ddd9, OrderID: order_RlETO1AvzhUjRh, TrackingID: TN-1764348693574-678, IP: ::1
[2025-11-28T16:53:38.386Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RlETO1AvzhUjRh, PaymentID: undefined, Amount: ₹481500, Verified: true, IP: ::1
